file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;cadical_hybrid_res;cadical_hybrid_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;z3_hybrid;z3_hybrid_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/SYN/SYN625-1.p;255;30.007271783;0;1.505561449;0;1.411925013;255;30.011470922;0;1.918643715;0;.051709164;0;.007055039;0;.028764782
./TPTP-v8.2.0/Problems/SYN/SYN498-1.p;255;30.012124671;255;30.013911265;255;30.012195345;255;30.021296310;255;30.018620173;255;30.020772366;255;30.004023837;0;.894758585
./TPTP-v8.2.0/Problems/SYN/SYN708-1.p;255;30.008954400;0;11.974042227;0;3.443848544;255;30.013657058;0;12.139481468;0;9.939563013;0;.361917035;0;5.243348484
./TPTP-v8.2.0/Problems/SYN/SYN327-1.p;0;.050283688;0;.031078933;0;.030924648;0;.112124355;0;.040277028;0;.040225776;0;.005393997;0;.036301685
./TPTP-v8.2.0/Problems/SYN/SYN511-1.p;255;30.013588821;255;30.016268821;255;30.013429851;255;30.024949828;255;30.019518201;255;30.023195532;255;30.004359523;0;.642867392
./TPTP-v8.2.0/Problems/SYN/SYN759-1.p;255;30.013461690;255;30.017243034;255;30.019750697;255;30.020827364;255;30.016917283;255;30.017610498;255;30.003974685;0;.357546838
./TPTP-v8.2.0/Problems/SYN/SYN067-2.p;255;30.015923863;255;30.009616306;255;30.009294368;255;30.019152219;255;30.019326855;255;30.022938103;255;30.003759234;0;.758678587
./TPTP-v8.2.0/Problems/SYN/SYN030-1.p;0;.029487572;0;.028883204;0;.028164762;0;.053813756;0;.059899364;0;.034259681;0;.004468588;0;.025015855
./TPTP-v8.2.0/Problems/SYN/SYN875-1.p;255;30.038716405;255;30.014829034;255;30.014943819;255;30.026624014;255;30.015170955;255;30.012652886;255;30.006165650;0;.794354141
./TPTP-v8.2.0/Problems/SYN/SYN188-1.p;0;2.176502196;0;.188253616;0;5.893793715;0;.253755648;0;.670796852;0;.056775146;0;.008457342;0;.049798090
./TPTP-v8.2.0/Problems/SYN/SYN849-1.p;255;30.063358866;255;30.063994545;255;30.065208857;255;30.060109503;255;30.012385071;255;30.041310705;255;30.008166064;255;30.009914947
./TPTP-v8.2.0/Problems/SYN/SYN563-1.p;255;30.006126310;255;30.005057513;0;23.406765643;255;30.010193584;255;30.010852632;255;30.010513755;255;30.003976870;255;30.054725858
./TPTP-v8.2.0/Problems/SYN/SYN898-1.p;255;30.070835193;255;30.024465960;255;30.021525913;255;30.046754202;255;30.017564463;255;30.015369794;255;30.048435855;255;30.008768303
./TPTP-v8.2.0/Problems/SYN/SYN847-1.p;255;30.063177990;255;30.063327079;255;30.067856980;255;30.045206755;255;30.015680298;255;30.032929625;255;30.012339521;0;17.067290038
./TPTP-v8.2.0/Problems/SYN/SYN896-1.p;255;30.049678000;255;30.016070357;0;18.274661451;255;30.035018995;255;30.015650538;255;30.014514568;255;30.086318832;255;30.009144175
./TPTP-v8.2.0/Problems/SYN/SYN587-1.p;255;30.007149259;255;30.007273027;255;30.009472990;255;30.011842032;255;30.009023978;255;30.013951260;0;.030650247;0;.032460623
./TPTP-v8.2.0/Problems/SYN/SYN591-1.p;255;30.006610265;255;30.008066602;0;3.717091398;255;30.010857058;255;30.008669538;255;30.012041504;0;.020116231;0;.036980222
./TPTP-v8.2.0/Problems/SYN/SYN641-1.p;255;30.008914452;255;30.009641169;255;30.010300835;255;30.010486393;255;30.008949769;255;30.011963539;0;.005206810;0;.032045179
