file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT044-1.p;255;30.008311985;255;30.006926310;255;30.003285456;255;30.011985512;255;30.187666174
./TPTP-v8.2.0/Problems/LAT/LAT167-1.p;255;30.008823719;255;30.007247529;255;30.002931268;255;30.007518056;255;30.212268067
./TPTP-v8.2.0/Problems/LAT/LAT183-10.p;255;30.010330969;255;30.006902759;255;30.003057291;255;30.010236416;255;30.201458475
./TPTP-v8.2.0/Problems/LAT/LAT027-1.p;255;30.009635232;255;30.006636424;255;30.003392240;255;30.008033661;255;30.254511991
./TPTP-v8.2.0/Problems/LAT/LAT160-1.p;255;30.009422772;255;30.007723637;255;30.003471698;255;30.008173510;255;30.152552514
./TPTP-v8.2.0/Problems/LAT/LAT155-1.p;255;30.007350225;255;30.008138907;255;30.002972024;255;30.004788659;255;30.123372890
./TPTP-v8.2.0/Problems/LAT/LAT242-1.p;255;30.008650728;255;30.007010855;255;30.003229458;255;30.007960581;255;30.117302101
./TPTP-v8.2.0/Problems/LAT/LAT268-1.p;255;30.071648971;255;30.005810540;255;30.003239065;255;30.022169878;255;30.292316846
./TPTP-v8.2.0/Problems/LAT/LAT264-2.p;0;.029571922;0;.027548960;0;.004698443;0;.026316287;0;.025954588
./TPTP-v8.2.0/Problems/LAT/LAT400-3.p;255;30.008320703;255;30.007171333;255;30.003343166;255;30.008117709;255;30.299664787
./TPTP-v8.2.0/Problems/LAT/LAT184-1.p;255;30.008743244;255;30.007341128;255;30.003387236;255;30.010463331;255;30.089696824
./TPTP-v8.2.0/Problems/LAT/LAT277-1.p;255;30.164205769;255;30.006597503;255;30.003573277;255;30.040143462;255;30.235035183
./TPTP-v8.2.0/Problems/LAT/LAT278-2.p;0;10.101940537;255;30.006996548;0;.004429406;255;30.008684833;0;.027899179
./TPTP-v8.2.0/Problems/LAT/LAT152-1.p;255;30.007224068;255;30.006874091;255;30.003683630;255;30.008384082;255;30.108851319
./TPTP-v8.2.0/Problems/LAT/LAT245-1.p;255;30.007565376;255;30.008741813;255;30.003836568;255;30.009484099;255;30.097013800
./TPTP-v8.2.0/Problems/LAT/LAT275-2.p;0;.810466477;0;2.567333240;0;.004636201;0;13.155578033;0;.027677013
./TPTP-v8.2.0/Problems/LAT/LAT183-1.p;255;30.007313107;255;30.008237045;255;30.003552584;255;30.008188352;255;30.099540854
./TPTP-v8.2.0/Problems/LAT/LAT076-1.p;255;30.008954745;255;30.007651379;255;30.004076202;255;30.008718008;255;30.011172023
./TPTP-v8.2.0/Problems/LAT/LAT239-1.p;255;30.007442406;255;30.006523675;255;30.003264758;255;30.009587758;255;30.106387894
./TPTP-v8.2.0/Problems/LAT/LAT280-2.p;0;.605378809;0;3.567186992;0;.004603189;0;13.609100315;0;.027038325
./TPTP-v8.2.0/Problems/LAT/LAT004-1.p;255;30.010789438;255;30.004838247;255;30.003940305;255;30.012671317;255;30.113623321
./TPTP-v8.2.0/Problems/LAT/LAT078-1.p;255;30.014763899;255;30.007010712;255;30.003700688;255;30.006729783;255;30.013573565
./TPTP-v8.2.0/Problems/LAT/LAT265-1.p;0;4.996581911;255;30.008637554;0;.051329738;0;.058327800;0;.058262888
./TPTP-v8.2.0/Problems/LAT/LAT035-1.p;255;30.007155971;255;30.006405305;0;.004615041;255;30.014197518;0;.071874773
./TPTP-v8.2.0/Problems/LAT/LAT237-1.p;255;30.006952639;255;30.006080853;255;30.003639699;255;30.011445590;255;30.104316754
./TPTP-v8.2.0/Problems/LAT/LAT230-1.p;255;30.007737662;255;30.006398436;255;30.004429478;255;30.009038919;255;30.149218098
./TPTP-v8.2.0/Problems/LAT/LAT263-2.p;255;30.009238878;255;30.006543606;0;.006886689;255;30.011242451;0;.026354006
./TPTP-v8.2.0/Problems/LAT/LAT003-1.p;255;30.008345366;255;30.005138957;255;30.003484526;255;30.010390505;255;30.115603846
./TPTP-v8.2.0/Problems/LAT/LAT032-1.p;255;30.005857256;255;30.004691484;255;30.003574073;255;30.009506370;255;30.110431983
